{'placa': 'DEJ9E93', 'ano': 2016, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'QFY3R40', 'ano': 2020, 'marca': 'chevrolet', 'modelo': 'cruze'}
{'placa': 'NXR0W30', 'ano': 2013, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'GDW6B11', 'ano': 2013, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'YOL6H79', 'ano': 2017, 'marca': 'fiat', 'modelo': 'pulse'}
{'placa': 'ANU4H81', 'ano': 2010, 'marca': 'chevrolet', 'modelo': 'camaro'}
{'placa': 'BBQ7Y78', 'ano': 2002, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'ZRA5X87', 'ano': 2014, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'WTR4K26', 'ano': 2013, 'marca': 'chevrolet', 'modelo': 'camaro'}
{'placa': 'UDT1S68', 'ano': 2021, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'EQQ9F19', 'ano': 2015, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'TYO5K27', 'ano': 2021, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'UGZ3A84', 'ano': 2009, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'AMB6L79', 'ano': 2017, 'marca': 'chevrolet', 'modelo': 'cruze'}
{'placa': 'CVA1Y35', 'ano': 2002, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'XBP2S09', 'ano': 2003, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'NKQ2R11', 'ano': 2003, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'FBO1X93', 'ano': 2005, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'VLB4I41', 'ano': 2015, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'ZDH5P85', 'ano': 2010, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'PKH0K67', 'ano': 2000, 'marca': 'chevrolet', 'modelo': 'cruze'}
{'placa': 'QLF4D61', 'ano': 2010, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'EIA0F47', 'ano': 2012, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'ECI8O83', 'ano': 2010, 'marca': 'chevrolet', 'modelo': 'cruze'}
